page_file,page_name,loc,screen_id,screen_name,is_dead,has_mock_fallback
src/pages/ZeroTrustDashboard.tsx,ZeroTrustDashboard,123,S03,Mission Control,True,False
src/pages/ZeroTrustPolicyDashboard.tsx,ZeroTrustPolicyDashboard,99,S03,Mission Control,False,False
src/pages/ai/AIAgentsConsole.tsx,AIAgentsConsole,171,S28,AI Security,True,False
src/pages/ai/AIAttackPathView.tsx,AIAttackPathView,163,S28,AI Security,False,False
src/pages/ai/AgentTaskQueue.tsx,AgentTaskQueue,191,S28,AI Security,True,False
src/pages/ai/AlgorithmicLab.tsx,AlgorithmicLab,231,S28,AI Security,True,False
src/pages/ai/BrainPipeline.tsx,BrainPipeline,357,S28,AI Security,True,False
src/pages/ai/Copilot.tsx,Copilot,170,S28,AI Security,False,False
src/pages/ai/CopilotDashboard.tsx,CopilotDashboard,475,S28,AI Security,False,False
src/pages/ai/CopilotGraphChat.tsx,CopilotGraphChat,154,S28,AI Security,False,False
src/pages/ai/MCPToolRegistry.tsx,MCPToolRegistry,172,S28,AI Security,False,False
src/pages/ai/MLDashboard.tsx,MLDashboard,306,S28,AI Security,True,False
src/pages/ai/MultiLLM.tsx,MultiLLM,259,S28,AI Security,True,False
src/pages/ai/Predictions.tsx,Predictions,285,S28,AI Security,True,False
src/pages/ai/ShadowAIInventory.tsx,ShadowAIInventory,169,S28,AI Security,True,False
src/pages/ai/TraversalExplanationPanel.tsx,TraversalExplanationPanel,159,S28,AI Security,False,False
src/pages/attack-surface/AttackSurface.tsx,AttackSurface,1123,S14,Attack Surface,False,False
src/pages/auth/AccessDenied.tsx,AccessDenied,26,S01,Login & Auth,True,False
src/pages/auth/LoginPage.tsx,LoginPage,786,S01,Login & Auth,False,False
src/pages/comply/Analytics.tsx,Analytics,530,S25,Compliance & Evidence,False,False
src/pages/comply/AuditTrail.tsx,AuditTrail,580,S25,Compliance & Evidence,True,False
src/pages/comply/ComplianceDashboard.tsx,ComplianceDashboard,1162,S25,Compliance & Evidence,True,False
src/pages/comply/EvidenceBundles.tsx,EvidenceBundles,557,S25,Compliance & Evidence,True,False
src/pages/comply/EvidenceExportCenter.tsx,EvidenceExportCenter,647,S25,Compliance & Evidence,False,False
src/pages/comply/EvidenceVault.tsx,EvidenceVault,586,S25,Compliance & Evidence,True,False
src/pages/comply/Reports.tsx,Reports,488,S25,Compliance & Evidence,False,False
src/pages/comply/SLSAProvenance.tsx,SLSAProvenance,541,S25,Compliance & Evidence,False,False
src/pages/comply/SOC2Evidence.tsx,SOC2Evidence,445,S25,Compliance & Evidence,False,False
src/pages/developer/APIExplorer.tsx,APIExplorer,1173,S04,ASPM — Code,False,False
src/pages/developer/DeveloperPortal.tsx,DeveloperPortal,1209,S04,ASPM — Code,False,False
src/pages/discover/ArchitectureLayerGraph.tsx,ArchitectureLayerGraph,196,S14,Attack Surface,True,False
src/pages/discover/AttackPaths.tsx,AttackPaths,653,S14,Attack Surface,False,False
src/pages/discover/CallGraphExplorer.tsx,CallGraphExplorer,209,S14,Attack Surface,False,False
src/pages/discover/CloudPosture.tsx,CloudPosture,412,S14,Attack Surface,False,False
src/pages/discover/CodeScanning.tsx,CodeScanning,905,S14,Attack Surface,False,False
src/pages/discover/CodeSemanticExplorer.tsx,CodeSemanticExplorer,228,S14,Attack Surface,False,False
src/pages/discover/ComponentIdentityView.tsx,ComponentIdentityView,184,S14,Attack Surface,False,False
src/pages/discover/ContainerSecurity.tsx,ContainerSecurity,386,S14,Attack Surface,False,False
src/pages/discover/CorrelationEngine.tsx,CorrelationEngine,885,S14,Attack Surface,False,False
src/pages/discover/DataFabric.tsx,DataFabric,876,S14,Attack Surface,False,False
src/pages/discover/FindingExplorer.tsx,FindingExplorer,1039,S14,Attack Surface,False,False
src/pages/discover/GraphPerfDashboard.tsx,GraphPerfDashboard,182,S14,Attack Surface,True,False
src/pages/discover/IaCScanning.tsx,IaCScanning,732,S14,Attack Surface,False,False
src/pages/discover/KnowledgeGraph.tsx,KnowledgeGraph,483,S14,Attack Surface,True,False
src/pages/discover/PIIFieldInventory.tsx,PIIFieldInventory,188,S14,Attack Surface,False,False
src/pages/discover/SBOMInventory.tsx,SBOMInventory,775,S14,Attack Surface,False,False
src/pages/discover/SecretsDetection.tsx,SecretsDetection,594,S14,Attack Surface,True,False
src/pages/discover/ThreatFeeds.tsx,ThreatFeeds,602,S14,Attack Surface,False,False
src/pages/findings/FindingsExplorer.tsx,FindingsExplorer,2186,S17,Findings Explorer,False,False
src/pages/hunting/ThreatHunting.tsx,ThreatHunting,1341,S20,Detections & Alerts,False,False
